id,generated_id,voted_for,category,voted_id
7277,gfw46p919q,PROFESA MAFINGO,Best Comedian,
7278,hak25bk03a,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
7279,fngc7u2njw,JUA KALI,Best Series,
7280,iudewsrvoe,JUA KALI,Best Series,
7281,3unrnlpy79,ISARITO MWAKALINDILE  - JANGA,Best Supporting Actor,
7282,7j499pb8qo,GODLIVER GODIAN - JUA KALI,Best Actress,
7283,7w7gk7lmr0,JUA KALI,Best Series,
7284,zljgnj2hwl,HELLEN HERMAN - JUA KALI,Best Supporting Actress,
7285,rb8d0r59dd,MOHAMEDY KINGARA (IDDY KAPALATA) - JUA KALI,Best Actor Audience Choice,
7286,z096zr784h,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
7287,bu97i5b3vx,JOHN KOKOLO - JANGA,Best Actor,
7288,310tbzf9r9,JUA KALI,Best Series,
7289,1ulgcmrvs5,ALLY SIWILA (BANZO) - JANGA,Best Actor Audience Choice,
7290,iudewsrvoe,KITIMTIM,Best Comedy,
7291,0kwqdsjy3y,FLORAH KIHOMBO - UGONJWA WA KIFO,Best Actress Audience Choice,
7292,57duqrcgmd,NEST DANIEL- OBAMBO,Best Supporting Actor,
7293,nidrb10u3x,BRENDA MALEMBEKA - BANTU,Best Upcoming Actress,
7294,wdqv55h91i,GODLIVER GODIAN - JUA KALI,Best Actress,
7295,bu97i5b3vx,JANGA,Best Feature Film,
7296,09a7qhv69k,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
7297,2w7m8fbu34,HELLEN HERMAN - JUA KALI,Best Supporting Actress,
7298,kb6vpadhm7,RASHID MSIGARA (PROSPER MDOGO) - NURU YA MAISHA,Best Actor Audience Choice,
7299,iudewsrvoe,KITIMTIM,Best Series Comedy(online ,
7300,8hx78np1hx,MARIA MDEE A.K.A MIMI MARS  (MARIA GEORGE) - JUA KALI,Best Actress Audience Choice,
7301,8uxxupcpzp,JUA KALI,Best Series,
7302,duy7ehqgcv,DENIS DAVID (KAPAMA) - UGONJWA WA KIFO,Best Actor Audience Choice,
7303,ocir9amy76,SALUM AHMEDI  - KESHO,Best Actor,
7304,kshads841k,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
7305,wh4h2kx48c,JUA KALI,Best Series,
7306,7w7gk7lmr0,MOHAMEDY KINGARA (IDDY KAPALATA) - JUA KALI,Best Actor Audience Choice,
7307,guww7lymdo,HAIKUFUMA – HUSSEN LUGENDO,Best Supporting Actor,
7308,qqslvfqpbb,JOHARI THABITI - MALUPELUPE,Best Actress,
7309,ypq8qavo3a,BEATRICE TAISAMO - HAIKUFUMA,Best Supporting Actress,
7310,021upn1n2o,FLORA KIHOMBO - BINTI JASIRI,Best Upcoming Actress,
7311,qid8kh0z5g,GODLIVER GODIAN - JUA KALI,Best Actress,
7312,lxw80znok4,BEATRICE TAISAMO - HAIKUFUMA,Best Supporting Actress,
7313,8hx78np1hx,JUA KALI,Best Series,
7314,jt6vi5wk3u,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
7315,k6ud13zbd3,MARIA MDEE A.K.A MIMI MARS  (MARIA GEORGE) - JUA KALI,Best Actress Audience Choice,
7316,z7f5rzgbfx,JUA KALI,Best Series,
7317,jpto7fegbl,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
7318,iudewsrvoe,GODLIVER GODIAN - JUA KALI,Best Actress,
7319,houucfdnfc,JIDAH HAMZA - OBAMBO,Best Actress Audience Choice,
7320,3unrnlpy79,JACOB STEVEN (JB) - SLAY QUEEN,Best Actor,
7321,4d8qs8iyex,MOHAMEDY KINGARA (IDDY KAPALATA) - JUA KALI,Best Actor Audience Choice,
7322,310tbzf9r9,MOHAMEDY KINGARA (IDDY KAPALATA) - JUA KALI,Best Actor Audience Choice,
7323,3xwmn17aej,MOHAMEDY KINGARA (IDDY KAPALATA) - JUA KALI,Best Actor Audience Choice,
7324,rb8d0r59dd,MARIA MDEE A.K.A MIMI MARS  (MARIA GEORGE) - JUA KALI,Best Actress Audience Choice,
7325,bwv5rwnuot,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
7326,eaaq79ybwl,MARIA MDEE A.K.A MIMI MARS  (MARIA GEORGE) - JUA KALI,Best Actress Audience Choice,
7327,cdndnfgi89,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
7328,iudewsrvoe,GLADNESS KIFALUKA,Best Comedian,
7329,4d8qs8iyex,JUA KALI,Best Series,
7330,fgfwpf28sk,AHADI,Best Series,
7331,moyxoi6jaf,BEATRICE TAISAMO - HAIKUFUMA,Best Supporting Actress,
7332,ib7rjty5w2,MOHAMEDY KINGARA (IDDY KAPALATA) - JUA KALI,Best Actor Audience Choice,
7333,leynxgxhu7,NEST DANIEL- OBAMBO,Best Supporting Actor,
7334,7w7gk7lmr0,SADAM NAWANDA - HAIKUFUMA,Best Upcoming Actor,
7335,62rbp6zt52,ISARITO MWAKALINDILE  - JANGA,Best Supporting Actor,
7336,8eb4elr4ez,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
7337,h1s0anseyw,ISARITO MWAKALINDILIE - OBAMBO,Best Actor,
7338,sf0vypzy5e,ISARITO MWAKALINDILE (OBAMB0) - OBAMBO,Best Actor Audience Choice,
7339,8uxxupcpzp,MARIA MDEE A.K.A MIMI MARS  (MARIA GEORGE) - JUA KALI,Best Actress Audience Choice,
7340,2scolucrw1,GODLIVER GODIAN - JUA KALI,Best Actress,
7341,k8zv7pple0,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
7342,9h0k3a0kaa,JOHN KOKOLO - JANGA,Best Actor,
7343,ib7rjty5w2,MARIA MDEE A.K.A MIMI MARS  (MARIA GEORGE) - JUA KALI,Best Actress Audience Choice,
7344,4d8qs8iyex,MARIA MDEE A.K.A MIMI MARS  (MARIA GEORGE) - JUA KALI,Best Actress Audience Choice,
7345,csn0rbq0me,HAIKUFUMA,Best Series,
7346,fnwj97s48y,NEST DANIEL- OBAMBO,Best Supporting Actor,
7347,mekxvru5i0,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
7348,rb8d0r59dd,JUA KALI,Best Series,
7349,p7j43vemr1,HELLEN HERMAN - JUA KALI,Best Supporting Actress,
7350,uvgp6tbon8,ISARITO MWAKALINDILE (OBAMB0) - OBAMBO,Best Actor Audience Choice,
7351,62rbp6zt52,HELLEN HERMAN - JUA KALI,Best Supporting Actress,
7352,eaaq79ybwl,KITIMTIM,Best Series Comedy(online ,
7353,7w7gk7lmr0,MARIA MDEE A.K.A MIMI MARS  (MARIA GEORGE) - JUA KALI,Best Actress Audience Choice,
7354,8uxxupcpzp,JACOB STEVEN (JB) - SLAY QUEEN,Best Actor,
7355,9h0k3a0kaa,JANGA,Best Feature Film,
7356,xl367z64jd,SALUM AHMEDI  - KESHO,Best Actor,
7357,fstc870gn8,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
7358,4d8qs8iyex,KITIMTIM,Best Comedy,
7359,b3fo3zdp0h,BEATRICE TAISAMO - HAIKUFUMA,Best Supporting Actress,
7360,z7f5rzgbfx,MARIA MDEE A.K.A MIMI MARS  (MARIA GEORGE) - JUA KALI,Best Actress Audience Choice,
7361,o2cvljb299,SALUNI YA MAMA KIMBO,Best Comedy,
7362,ib7rjty5w2,JUA KALI,Best Series,
7363,tbgm9qr1mr,NORIEGA FRANCIS (CHALII) - AHADI,Best Actor Audience Choice,
7364,8hx78np1hx,KITIMTIM,Best Comedy,
7365,4d8qs8iyex,KITIMTIM,Best Series Comedy(online ,
7366,62rbp6zt52,KITIMTIM,Best Series Comedy(online ,
7367,nbin3rprgj,BRENDA MALEMBEKA - BANTU,Best Supporting Actress,
7368,uvgp6tbon8,ISARITO MWAKALINDILIE - OBAMBO,Best Actor,
7369,wh4h2kx48c,ISARITO MWAKALINDILIE - OBAMBO,Best Actor,
7370,vs92ilpc58,JOTI,Best Comedian,
7371,bdpmn0l88e,SADAM NAWANDA - HAIKUFUMA,Best Actor,
7372,7w7gk7lmr0,KITIMTIM,Best Series Comedy(online ,
